lgd_distcode,lgd_statecode,cibil_distcode,cibil_statecode,state,district
603,35,603,33,Andaman And Nicobar Islands,Nicobars
632,35,632,33,Andaman And Nicobar Islands,North And Middle Andaman
602,35,602,33,Andaman And Nicobar Islands,South Andamans
502,28,502,26,Andhra Pradesh,Anantapur
503,28,503,26,Andhra Pradesh,Chittoor
505,28,505,26,Andhra Pradesh,East Godavari
506,28,506,26,Andhra Pradesh,Guntur
510,28,510,26,Andhra Pradesh,Krishna
511,28,511,26,Andhra Pradesh,Kurnool
517,28,517,26,Andhra Pradesh,Prakasam
515,28,515,26,Andhra Pradesh,Spsr Nellore
519,28,519,26,Andhra Pradesh,Srikakulam
520,28,520,26,Andhra Pradesh,Visakhapatanam
521,28,521,26,Andhra Pradesh,Vizianagaram
523,28,523,26,Andhra Pradesh,West Godavari
504,28,504,26,Andhra Pradesh,Y.S.R.
628,12,628,12,Arunachal Pradesh,Anjaw
229,12,229,12,Arunachal Pradesh,Changlang
230,12,230,12,Arunachal Pradesh,Dibang Valley
231,12,231,12,Arunachal Pradesh,East Kameng
232,12,232,12,Arunachal Pradesh,East Siang
718,12,718,12,Arunachal Pradesh,Kamle
677,12,677,12,Arunachal Pradesh,Kra  Daadi
233,12,233,12,Arunachal Pradesh,Kurung Kumey
724,12,724,12,Arunachal Pradesh,Leparada
234,12,234,12,Arunachal Pradesh,Lohit
666,12,666,12,Arunachal Pradesh,Longding
235,12,235,12,Arunachal Pradesh,Lower Dibang Valley
719,12,719,12,Arunachal Pradesh,Lower Siang
236,12,236,12,Arunachal Pradesh,Lower Subansiri
678,12,678,12,Arunachal Pradesh,Namsai
723,12,723,12,Arunachal Pradesh,Pakke Kessang
237,12,237,12,Arunachal Pradesh,Papum Pare
725,12,725,12,Arunachal Pradesh,Shi Yomi
679,12,679,12,Arunachal Pradesh,Siang
238,12,238,12,Arunachal Pradesh,Tawang
239,12,239,12,Arunachal Pradesh,Tirap
240,12,240,12,Arunachal Pradesh,Upper Siang
241,12,241,12,Arunachal Pradesh,Upper Subansiri
242,12,242,12,Arunachal Pradesh,West Kameng
243,12,243,12,Arunachal Pradesh,West Siang
616,18,616,18,Assam,Baksa
280,18,280,18,Assam,Barpeta
705,18,705,18,Assam,Biswanath
281,18,281,18,Assam,Bongaigaon
282,18,282,18,Assam,Cachar
708,18,708,18,Assam,Charaideo
612,18,612,18,Assam,Chirang
283,18,283,18,Assam,Darrang
284,18,284,18,Assam,Dhemaji
285,18,285,18,Assam,Dhubri
286,18,286,18,Assam,Dibrugarh
299,18,299,18,Assam,Dima Hasao
287,18,287,18,Assam,Goalpara
288,18,288,18,Assam,Golaghat
289,18,289,18,Assam,Hailakandi
709,18,709,18,Assam,Hojai
290,18,290,18,Assam,Jorhat
291,18,291,18,Assam,Kamrup
618,18,618,18,Assam,Kamrup Metro
292,18,292,18,Assam,Karbi Anglong
293,18,293,18,Assam,Karimganj
294,18,294,18,Assam,Kokrajhar
295,18,295,18,Assam,Lakhimpur
706,18,706,18,Assam,Majuli
296,18,296,18,Assam,Marigaon
297,18,297,18,Assam,Nagaon
298,18,298,18,Assam,Nalbari
300,18,300,18,Assam,Sivasagar
301,18,301,18,Assam,Sonitpur
707,18,707,18,Assam,South Salmara Mancachar
302,18,302,18,Assam,Tinsukia
617,18,617,18,Assam,Udalguri
710,18,710,18,Assam,West Karbi Anglong
188,10,188,10,Bihar,Araria
611,10,611,10,Bihar,Arwal
189,10,189,10,Bihar,Aurangabad
190,10,190,10,Bihar,Banka
191,10,191,10,Bihar,Begusarai
192,10,192,10,Bihar,Bhagalpur
193,10,193,10,Bihar,Bhojpur
194,10,194,10,Bihar,Buxar
195,10,195,10,Bihar,Darbhanga
196,10,196,10,Bihar,Gaya
197,10,197,10,Bihar,Gopalganj
198,10,198,10,Bihar,Jamui
199,10,199,10,Bihar,Jehanabad
200,10,200,10,Bihar,Kaimur (Bhabua)
201,10,201,10,Bihar,Katihar
202,10,202,10,Bihar,Khagaria
203,10,203,10,Bihar,Kishanganj
204,10,204,10,Bihar,Lakhisarai
205,10,205,10,Bihar,Madhepura
206,10,206,10,Bihar,Madhubani
207,10,207,10,Bihar,Munger
208,10,208,10,Bihar,Muzaffarpur
209,10,209,10,Bihar,Nalanda
210,10,210,10,Bihar,Nawada
211,10,211,10,Bihar,Pashchim Champaran
212,10,212,10,Bihar,Patna
213,10,213,10,Bihar,Purbi Champaran
214,10,214,10,Bihar,Purnia
215,10,215,10,Bihar,Rohtas
216,10,216,10,Bihar,Saharsa
217,10,217,10,Bihar,Samastipur
218,10,218,10,Bihar,Saran
219,10,219,10,Bihar,Sheikhpura
220,10,220,10,Bihar,Sheohar
221,10,221,10,Bihar,Sitamarhi
222,10,222,10,Bihar,Siwan
223,10,223,10,Bihar,Supaul
224,10,224,10,Bihar,Vaishali
44,4,44,4,Chandigarh,Chandigarh
646,22,646,22,Chhattisgarh,Balod
644,22,644,22,Chhattisgarh,Baloda Bazar
649,22,649,22,Chhattisgarh,Balrampur
374,22,374,22,Chhattisgarh,Bastar
650,22,650,22,Chhattisgarh,Bemetara
636,22,636,22,Chhattisgarh,Bijapur
375,22,375,22,Chhattisgarh,Bilaspur
